layer,crop,cv,model,metric,point,ci_lo,ci_hi,boot_mean,boot_sd,method,n,n_boot,seed
A,bugday,LOILO,elastic_net,r2,0.0481,-0.038,0.0918,0.0369,0.0342,cluster,589,5000,12345
A,bugday,LOILO,elastic_net,rmse_kg_da,67.8884,61.4803,75.2906,67.9216,3.5445,cluster,589,5000,12345
A,bugday,LOILO,elastic_net,mae_kg_da,53.3331,48.0976,59.8883,53.4373,3.0239,cluster,589,5000,12345
A,bugday,LOILO,elastic_net,mape_pct,15.1571,12.7246,18.5042,15.201,1.4841,cluster,589,5000,12345
A,bugday,LOILO,elastic_net,bias_kg_da,0.6193,-12.5621,15.1278,0.6768,7.0914,cluster,589,5000,12345
A,bugday,LOILO,gpr,r2,0.4413,0.3697,0.5024,0.4392,0.0337,iid,589,5000,12345
A,bugday,LOILO,gpr,rmse_kg_da,52.0086,48.5396,55.4888,51.9729,1.79,iid,589,5000,12345
A,bugday,LOILO,gpr,mae_kg_da,39.9725,37.3031,42.6071,39.9722,1.3591,iid,589,5000,12345
A,bugday,LOILO,gpr,mape_pct,11.3623,10.443,12.3297,11.3595,0.479,iid,589,5000,12345
A,bugday,LOILO,gpr,bias_kg_da,0.9675,-3.1989,5.2124,0.9673,2.1366,iid,589,5000,12345
A,bugday,LOILO,gpr,r2,0.4413,0.309,0.5402,0.4341,0.0597,cluster,589,5000,12345
A,bugday,LOILO,gpr,rmse_kg_da,52.0086,45.4018,58.557,51.9773,3.3457,cluster,589,5000,12345
A,bugday,LOILO,gpr,mae_kg_da,39.9725,34.8147,45.4552,40.0208,2.6856,cluster,589,5000,12345
A,bugday,LOILO,gpr,mape_pct,11.3623,9.4578,13.6537,11.3837,1.0539,cluster,589,5000,12345
A,bugday,LOILO,gpr,bias_kg_da,0.9675,-9.9241,12.0272,0.9838,5.6458,cluster,589,5000,12345
A,bugday,LOILO,pls,r2,0.0129,-0.0496,0.0679,0.0106,0.0302,iid,589,5000,12345
A,bugday,LOILO,pls,rmse_kg_da,69.1323,65.011,73.249,69.0687,2.0905,iid,589,5000,12345
A,bugday,LOILO,pls,mae_kg_da,54.3759,50.9539,57.8536,54.3506,1.7494,iid,589,5000,12345
A,bugday,LOILO,pls,mape_pct,15.3983,14.2015,16.6442,15.3886,0.6147,iid,589,5000,12345
