ilce_id,ilce,il,crop,urun_tr,n_years,yil_min,yil_max,mean_kg_da,std_kg_da,cv_pct,min_kg_da,min_yil,max_kg_da,max_yil
1652,Şarköy,Tekirdağ,bugday,Buğday,22,2004,2025,387.5,61.9,16.0,257.0,2005,527.0,2021
1673,Merkez,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),9,2004,2012,177.3,22.8,12.8,136.0,2007,212.0,2006
1673,Merkez,Tekirdağ,bugday,Buğday,9,2004,2012,396.3,57.3,14.4,301.0,2010,500.0,2012
1705,Uzunköprü,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,225.5,65.8,29.2,127.0,2007,350.0,2010
1705,Uzunköprü,Edirne,bugday,Buğday,22,2004,2025,384.5,52.8,13.7,283.0,2011,515.0,2023
1714,Vize,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,209.9,40.6,19.4,149.0,2004,277.0,2021
1714,Vize,Kırklareli,bugday,Buğday,22,2004,2025,388.3,42.8,11.0,315.0,2010,483.0,2021
1825,Marmaraereğlisi,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,205.6,45.7,22.2,85.0,2007,265.0,2021
1825,Marmaraereğlisi,Tekirdağ,bugday,Buğday,22,2004,2025,434.2,65.0,15.0,339.0,2010,589.0,2021
1988,Süloğlu,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,217.7,47.6,21.9,149.0,2008,302.0,2021
1988,Süloğlu,Edirne,bugday,Buğday,22,2004,2025,350.3,70.0,20.0,273.0,2005,576.0,2023
2094,Ergene,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),13,2013,2025,208.7,54.7,26.2,100.0,2025,260.0,2019
2094,Ergene,Tekirdağ,bugday,Buğday,13,2013,2025,410.2,77.7,18.9,226.0,2025,545.0,2021
2095,Kapaklı,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),13,2013,2025,200.6,47.8,23.8,107.0,2023,250.0,2019
2095,Kapaklı,Tekirdağ,bugday,Buğday,13,2013,2025,391.2,54.7,14.0,290.0,2018,527.0,2021
2096,Süleymanpaşa,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),13,2013,2025,207.9,43.3,20.8,112.0,2023,250.0,2021
2096,Süleymanpaşa,Tekirdağ,bugday,Buğday,13,2013,2025,418.3,57.4,13.7,336.0,2018,554.0,2021
