ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,NDVI_peak_mean,NDVI_grainfill_mean,NDRE_greenup_mean,NDRE_peak_mean,NDRE_grainfill_mean,EVI_greenup_mean,EVI_peak_mean,EVI_grainfill_mean
1388,Hayrabolu,Tekirdağ,2018,343.0,3736.39,577.965,51,693.7800000000001,441.84,31.62,86.67,0.6544918498176208,11,18.409032258064517,24.60290322580645,10.678993055555557,674.3399999999999,3904.03,0.7007949180374976,0.770597775730272,0.2790405935834242,0.4522763972280765,0.5708200530033285,0.1779563335884702,0.4488059769579292,0.5803725738423773,0.1713433937963003
1388,Hayrabolu,Tekirdağ,2019,456.0,3566.6900000000005,565.145,61,528.49,348.80999999999995,39.290000000000006,35.23,0.503401046681078,23,18.003225806451614,24.453225806451613,10.869930555555555,660.11,3843.55,0.5944000903455663,0.8098535302625249,0.362009567256797,0.4047892959172408,0.6301651234438359,0.2280339216583765,0.3913069673222331,0.6425378365358678,0.2398855689700803
1388,Hayrabolu,Tekirdağ,2020,394.0,3771.025,539.81,46,447.02,224.56,65.90999999999998,49.06,0.4031937646342962,16,17.22967741935484,23.79387096774193,11.29453287197232,655.2299999999999,4067.94,0.7460791945428854,0.8421572853341998,0.3270540921622506,0.5479199435854911,0.6568662364146376,0.2081449642287923,0.5362463063586419,0.7345196902604885,0.2094122531821256
1388,Hayrabolu,Tekirdağ,2021,483.0,3615.84,537.045,52,844.54,586.98,87.1,66.47,0.8603168223957617,9,17.15806451612903,23.12225806451613,10.218368055555556,680.8100000000001,3826.01,0.6799152661348373,0.8316428993620537,0.5763234324150602,0.4527622581529383,0.6360669045376626,0.374649130559216,0.5041343784946222,0.6767819663699165,0.3763139672894072
1388,Hayrabolu,Tekirdağ,2022,406.0,3492.255,552.96,48,536.6600000000001,397.42,22.9,41.01,0.4985783109599084,27,17.649032258064512,25.07967741935484,11.074027777777776,762.4200000000001,3943.88,0.5664762130233626,0.8083532548030236,0.3441348282897391,0.3600411712704312,0.6235946256701322,0.2152827798721815,0.3611112622482969,0.6386299435229289,0.2090355467013005
1388,Hayrabolu,Tekirdağ,2023,344.0,3853.62,501.69000000000005,51,402.8,191.01,39.33,35.690000000000005,0.3897403593784167,13,15.982903225806451,21.903548387096773,10.939965277777778,575.88,3779.36,0.5996040281715351,0.8288801650760628,0.4292254474506789,0.3955223407082555,0.6578380631182135,0.2818092233538642,0.3694812259693476,0.6779131086885578,0.2723213226818901
1388,Hayrabolu,Tekirdağ,2024,386.0,4213.055,521.84,44,477.18,352.87,29.52,3.79,0.390401081283397,29,16.66032258064516,23.3483870967742,11.34871972318339,673.8800000000001,4062.81,0.6275513223929147,0.8061255310872391,0.2886931617328513,0.4160373408680652,0.633912489557368,0.1872582705074832,0.4088601548446837,0.645354817837191,0.1914978402587457
1412,İpsala,Edirne,2017,345.0,3523.275,559.8449999999999,58,448.77,262.08,43.07000000000001,48.38,0.3895179443527228,18,17.89064516129032,24.09129032258065,10.441388888888888,710.1300000000002,4264.71,0.4814189267393126,0.7968129905078066,0.3141573876066462,0.3165742926647768,0.6001914176962679,0.188682150571646,0.3002847422949708,0.6572495629393659,0.1907207221204504
1412,İpsala,Edirne,2018,345.0,3931.005,609.7049999999999,53,689.11,434.96,30.710000000000004,89.78999999999999,0.6292017694806169,16,19.50258064516129,25.34548387096774,9.6634375,686.61,4162.33,0.6957120210428136,0.714496942375263,0.2278808172501548,0.4576557433724137,0.5137764204268608,0.1377242531810176,0.4732869803943571,0.5410335183644427,0.1680181541314431
1412,İpsala,Edirne,2019,383.0,3761.485,588.9049999999999,61,531.57,348.48,38.67,37.610000000000014,0.4865528510392606,24,18.717741935483875,24.72,9.910381944444444,709.0600000000001,4098.429999999999,0.5484773409199295,0.7637567332663787,0.2907630653878998,0.3644101773261154,0.5662231386468454,0.1805296975647626,0.3792472600731013,0.5861430838609416,0.1895778592834446
1412,İpsala,Edirne,2020,432.0,3953.715,563.4350000000001,50,461.35,236.51,63.40999999999999,49.96,0.4082610951007659,15,17.976129032258065,23.973548387096773,10.223771626297578,708.0,4263.72,0.7148416453593907,0.8009499812251055,0.2778424425566773,0.5187174229979649,0.601664071807085,0.1721398370959878,0.5196289999400026,0.6555905764404101,0.1681365134378581
1412,İpsala,Edirne,2021,529.0,3814.98,561.755,44,858.53,602.4,86.47999999999999,66.69999999999999,0.8191838226323328,9,17.941290322580645,23.50064516129032,9.2275,752.45,4190.56,0.5912670604770293,0.7714811148817959,0.3794070163100745,0.3799387429207804,0.5712499578171994,0.2306324343216127,0.4313269427809648,0.6088202575795176,0.2338073609119553
1412,İpsala,Edirne,2022,438.0,3695.17,588.595,52,550.11,409.68,22.85,43.48,0.4880126108459647,28,18.876451612903224,25.89612903225807,10.1096875,778.39,4231.91,0.5076109669328657,0.7461623057510759,0.2728949520958408,0.3125945831930886,0.5594602465741508,0.1694574319666042,0.3384941180403445,0.578609604700384,0.1751133180886408
1412,İpsala,Edirne,2023,576.0,4035.27,532.8149999999999,50,417.05,208.13,39.03999999999999,36.14,0.3926753951407357,13,17.042580645161287,22.671612903225807,9.9821875,588.3899999999999,3994.44,0.583870127824278,0.8024542251394902,0.307079944732884,0.3867987117111334,0.6191979872003198,0.1893797235821186,0.4135991212419042,0.6606937242087578,0.1900657855537919
1412,İpsala,Edirne,2024,409.0,4426.675,556.0949999999998,43,466.15,341.96000000000004,30.51,4.119999999999999,0.3713535559003516,30,17.804516129032255,24.09709677419355,10.388546712802768,701.1700000000001,4311.64,0.6871359923615777,0.7795067198408432,0.2580362028230162,0.4862051536730957,0.6017290640966466,0.1637474673175722,0.5163133299478702,0.6485178098283767,0.1894398765261832
1464,Keşan,Edirne,2017,424.0,3336.135,530.66,50,462.66,274.64,42.21000000000001,49.260000000000005,0.3936829412334743,18,16.972580645161294,23.67806451612904,11.40204861111111,710.1300000000002,4264.71,0.4165393102974256,0.8002557207321115,0.3444640892815123,0.2656296796771655,0.6005369164514758,0.2099012239285478,0.2333612917247424,0.6456806216523799,0.2030170635372939
