2026-05-22 09:49:05.830 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 09:49:05.849 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 09:49:05.865 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 09:49:05.878 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
2026-05-22 09:49:05.894 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 09:49:05.912 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 09:49:05.929 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 09:49:05.949 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 09:49:05.949 | INFO     | prospective_validation.model_loader:load_frozen_champion:176 | Registering CP2 custom layers (SelfAttention, ExtractLastNDVI, ScaleDelta) …
2026-05-22 09:49:17.736 | INFO     | prospective_validation.model_loader:load_frozen_champion:180 | Loading frozen LSTM champion: model_lstm_sunflower.keras
2026-05-22 09:49:18.232 | INFO     | prospective_validation.model_loader:load_frozen_champion:217 | Frozen champion loaded. LSTM sha256=43ef61b5a70f16cd (truncated)
2026-05-22 09:49:18.258 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_xgb_sunflower unchanged (1b8f2a14404f)
2026-05-22 09:49:18.282 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] yield_scaler_sunflower unchanged (53e405f78848)
2026-05-22 09:53:23.939 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 510.11s (cache_hit=False)
2026-05-22 09:53:23.942 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 9bc39adb80b5 (2624 bytes)
2026-05-22 09:58:17.006 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 09:58:17.099 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] lstm_champion_sunflower unchanged (43ef61b5a70f)
2026-05-22 09:58:17.113 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_yield_sunflower unchanged (9cc638a6a951)
2026-05-22 09:58:17.126 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] scaler_sunflower unchanged (1212fc508136)
