ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum
1295,Merkez,Edirne,2024,123.0,2781.3,639.84,0,184.0,,23.96,12.02,0.1225132004475646,56,28.700645161290325,36.40741935483871,14.36863387978142,779.2800000000002,4035.940000000001
1307,Enez,Edirne,2017,256.0,2512.3,555.5749999999999,0,160.38,,31.68,6.6,0.1502766983184117,13,25.80258064516129,29.98451612903226,7.314426229508195,819.4899999999999,4238.02
1307,Enez,Edirne,2018,276.0,2664.84,573.1500000000001,0,198.28,,56.56,0.17,0.1943268895427443,0,26.562903225806448,29.557741935483868,6.832240437158468,798.4799999999999,4150.03
1307,Enez,Edirne,2019,282.0,2557.26,542.53,0,175.67000000000002,,35.38,11.73,0.1680550582871994,10,25.52612903225806,29.41354838709677,6.953442622950819,824.9899999999999,4212.64
1307,Enez,Edirne,2020,292.0,2505.085,556.035,0,177.70999999999998,,2.72,5.619999999999998,0.1659613397629723,15,25.85967741935484,30.2858064516129,7.215573770491804,878.3400000000001,4285.5
1307,Enez,Edirne,2021,202.0,2523.885,591.835,0,202.38,,6.430000000000001,6.0,0.1999666781704514,19,27.08096774193549,31.023870967741928,6.549125683060111,852.5899999999999,4231.27
1307,Enez,Edirne,2022,195.0,2538.4350000000004,552.26,0,192.88,,20.98,78.08,0.1820536449611694,8,25.737419354838707,30.04290322580645,7.119071038251366,846.59,4259.530000000001
1307,Enez,Edirne,2023,157.0,2548.4450000000006,604.4449999999999,0,149.02,,10.38,1.16,0.1502411724007007,19,27.56032258064516,31.494516129032256,6.963333333333333,852.4700000000001,3944.62
1307,Enez,Edirne,2024,130.0,2806.3099999999995,626.4150000000001,0,127.25,,4.85,3.9,0.1143037994467491,28,28.236451612903227,32.32741935483871,7.255628415300545,821.7900000000001,4235.79
1385,Havsa,Edirne,2017,259.0,2428.81,553.2599999999999,0,273.97,,59.83,12.01,0.1938683738695647,39,25.58129032258065,33.62580645161291,14.356775956284151,775.2200000000001,4016.24
1385,Havsa,Edirne,2018,233.0,2519.59,541.5949999999999,0,258.65,,79.18,1.89,0.1942220122962503,42,25.350000000000005,31.60258064516129,13.068852459016396,733.86,4012.95
1385,Havsa,Edirne,2019,212.0,2482.7200000000003,544.5500000000001,0,230.70000000000005,,45.38,31.68,0.1655486325851696,44,25.515483870967746,33.28645161290322,14.009344262295082,756.7299999999999,3987.36
1385,Havsa,Edirne,2020,224.0,2469.95,572.3299999999999,0,229.11,,1.84,7.41,0.1622940337738141,54,26.26612903225806,34.483548387096775,14.179945355191258,836.0299999999999,4054.02
1385,Havsa,Edirne,2021,250.0,2390.16,599.15,0,220.56,,14.4,13.81,0.1653928520362352,55,27.134516129032253,35.18,13.302240437158469,823.1500000000002,3943.41
1385,Havsa,Edirne,2022,241.0,2495.07,581.8800000000001,0,221.16,,20.27,46.8,0.1558961648516955,50,26.649677419354838,34.76258064516129,14.103169398907104,831.5500000000002,4073.07
1385,Havsa,Edirne,2023,231.0,2558.1450000000004,630.4299999999998,0,218.67,,19.77,10.48,0.1624380392253557,57,28.345161290322583,36.51870967741936,13.636120218579237,808.1800000000001,3806.9699999999993
1385,Havsa,Edirne,2024,132.0,2786.885,648.5999999999999,0,172.17,,20.090000000000003,10.34,0.1155264255809047,58,28.8141935483871,36.67161290322581,14.260928961748634,779.2800000000002,4035.940000000001
1388,Hayrabolu,Tekirdağ,2017,239.0,2441.805,560.5649999999999,0,221.77,,43.46,10.46,0.1550423628175176,39,25.76838709677419,33.88483870967742,14.358688524590166,802.7799999999997,4059.79
1388,Hayrabolu,Tekirdağ,2018,250.0,2545.095,557.055,0,226.77,,69.7,0.3299999999999999,0.1698464814518727,46,25.848064516129032,32.31935483870968,13.023989071038253,740.6800000000001,4002.06
