prediction_date,target_date,predicted_ndvi,last_observed_ndvi,residual_delta,predicted_ndvi_scaled,climatology_ndvi,anomaly_vs_climatology,actual_date,actual_ndvi,source,days_to_actual,abs_error,abs_err_naive
2025-05-07,2025-05-14,0.30243741157650955,0.18421000242233276,0.11822740915417679,0.46687406301498413,0.5619805555555555,-0.25954314397904593,2025-05-13,0.316,s2_gee_raw,1,0.013562588423490451,0.13178999757766724
2025-05-08,2025-05-15,0.3247808572769166,0.20231999456882477,0.12246086270809181,0.4990367889404297,0.5360729166666667,-0.2112920593897501,2025-05-13,0.316,s2_gee_raw,2,0.008780857276916576,0.11368000543117524
2025-05-12,2025-05-19,0.3933149435818196,0.28632500767707825,0.10698993590474137,0.5976895689964294,0.5147958333333333,-0.12148088975151372,2025-05-21,0.18345,s2_gee_raw,2,0.20986494358181962,0.10287500767707825
2025-05-13,2025-05-20,0.40962761626839644,0.31599998474121094,0.0936276315271855,0.6211711764335632,0.52605625,-0.11642863373160356,2025-05-21,0.18345,s2_gee_raw,1,0.22617761626839644,0.13254998474121094
2025-05-14,2025-05-21,0.3778030061662198,0.2994312644004822,0.07837174176573763,0.5753605961799622,0.5116166666666667,-0.1338136605004469,2025-05-21,0.18345,s2_gee_raw,0,0.1943530061662198,0.11598126440048218
2025-05-15,2025-05-22,0.3477907956302167,0.28286251425743103,0.06492828137278567,0.5321589112281799,0.5382499999999999,-0.1904592043697832,2025-05-21,0.18345,s2_gee_raw,1,0.1643407956302167,0.09941251425743103
2025-05-16,2025-05-23,0.3214661991715432,0.2662937343120575,0.05517246485948568,0.49426543712615967,0.5382499999999999,-0.21678380082845672,2025-05-23,0.17465,s2_gee_raw,0,0.14681619917154318,0.0916437343120575
2025-05-17,2025-05-24,0.3003047261834145,0.24972501397132874,0.05057971221208579,0.46380412578582764,0.5234958333333334,-0.22319110714991885,2025-05-23,0.17465,s2_gee_raw,1,0.12565472618341453,0.07507501397132874
2025-05-18,2025-05-25,0.28390070888996133,0.2331562638282776,0.05074444506168374,0.44019103050231934,0.522709375,-0.2388086661100387,2025-05-23,0.17465,s2_gee_raw,2,0.10925070888996133,0.05850626382827759
2025-05-22,2025-05-29,0.2698840321719647,0.1790499985218048,0.0908340336501599,0.4200144410133362,0.525701388888889,-0.25581735671692424,2025-05-31,0.32065,s2_gee_raw,2,0.050765967828035274,0.14160000147819518
2025-05-23,2025-05-30,0.2792871023178101,0.17464999854564667,0.10463710377216345,0.4335498809814453,0.513309375,-0.23402227268218984,2025-05-31,0.32065,s2_gee_raw,1,0.04136289768218987,0.14600000145435332
